landing@1440: 4 critical, 5 warnings, 1 info
landing@1280: 6 critical, 5 warnings, 1 info
landing@1024: 6 critical, 5 warnings, 0 info
landing@768: 8 critical, 5 warnings, 0 info
login@1440: 0 critical, 0 warnings, 1 info
login@1280: 0 critical, 0 warnings, 1 info
login@1024: 0 critical, 0 warnings, 0 info
login@768: 0 critical, 0 warnings, 0 info
signup@1440: 0 critical, 0 warnings, 1 info
signup@1280: 0 critical, 0 warnings, 1 info
signup@1024: 0 critical, 0 warnings, 0 info
signup@768: 0 critical, 0 warnings, 0 info
leads@1440: 0 critical, 0 warnings, 1 info
leads@1280: 0 critical, 0 warnings, 1 info
leads@1024: 0 critical, 0 warnings, 0 info
leads@768: 0 critical, 0 warnings, 0 info
prospect-check@1440: 0 critical, 0 warnings, 1 info
prospect-check@1280: 0 critical, 0 warnings, 1 info
prospect-check@1024: 0 critical, 0 warnings, 0 info
prospect-check@768: 0 critical, 0 warnings, 0 info
settings@1440: 0 critical, 0 warnings, 1 info
settings@1280: 0 critical, 0 warnings, 1 info
settings@1024: 0 critical, 0 warnings, 0 info
settings@768: 0 critical, 0 warnings, 0 info
usage@1440: 0 critical, 0 warnings, 1 info
usage@1280: 0 critical, 0 warnings, 1 info
usage@1024: 0 critical, 0 warnings, 0 info
usage@768: 0 critical, 0 warnings, 0 info
